 ,Rxns,Reactions,Gene-Protein Rules,Lower Bound,Upper Bound
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,ATP + 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate + L-Aspartate <=> ADP + Orthophosphate + 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,atp[c] + asp_L[c] + 5aizc[c]  <=> adp[c] + pi[c] + 25aics[c] ,MCON_1441,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,Formate + ATP + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide <=> ADP + Orthophosphate + 1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,atp[c] + for[c] + aicar[c]  <=> adp[c] + pi[c] + fprica[c] ,MCON_1268 | MCON_3207,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole <=> 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,5ca1rpi[c]  <=> 5aizc[c] ,MCON_2643,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01232 Nucleotide metabolism,ATP + H2O <=> ADP + Orthophosphate,h2o[c] + atp[c]  <=> adp[c] + pi[c] ,MCON_1365 | MCON_2516,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01232 Nucleotide metabolism,Xanthosine 5'-phosphate + H2O <=> Xanthosine + Orthophosphate,h2o[c] + xmp[c]  <=> pi[c] + xtsn[c] ,MCON_0299,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,AMP + H2O <=> Adenosine + Orthophosphate,h2o[c] + amp[c]  <=> pi[c] + adn[c] ,MCON_0299,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate,ppi[c] + amp[c]  <=> prpp[c] + ade[c] ,MCON_2988,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + GDP <=> ADP + GTP,atp[c] + gdp[c]  <=> adp[c] + gtp[c] ,MCON_1703,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,GTP + H2O <=> GDP + Orthophosphate,h2o[c] + gtp[c]  <=> pi[c] + gdp[c] ,MCON_1716,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ITP + H2O <=> IMP + Diphosphate,h2o[c] + itp[c]  <=> ppi[c] + imp[c] ,MCON_0926,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + IDP <=> ADP + ITP,atp[c] + idp[c]  <=> adp[c] + itp[c] ,MCON_1703,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,IMP + H2O <=> Inosine + Orthophosphate,h2o[c] + imp[c]  <=> pi[c] + ins[c] ,MCON_0299,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + dADP <=> ADP + dATP,atp[c] + dadp[c]  <=> adp[c] + datp[c] ,MCON_1703,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,GMP + H2O <=> Guanosine + Orthophosphate,h2o[c] + gmp[c]  <=> pi[c] + gsn[c] ,MCON_0299,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + Xanthosine 5'-phosphate + Ammonia <=> AMP + Diphosphate + GMP,atp[c] + nh4[c] + xmp[c]  <=> ppi[c] + amp[c] + gmp[c] ,MCON_0459 | MCON_1034,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + Xanthosine 5'-phosphate + L-Glutamine + H2O <=> AMP + Diphosphate + GMP + L-Glutamate,h2o[c] + atp[c] + gln_L[c] + xmp[c]  <=> ppi[c] + amp[c] + glu_L[c] + gmp[c] ,MCON_0459 | MCON_1034,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,Adenine + H2O <=> Hypoxanthine + Ammonia,h2o[c] + ade[c]  <=> nh4[c] + hxan[c] ,MCON_1251,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + dAMP <=> ADP + dADP,atp[c] + damp[c]  <=> adp[c] + dadp[c] ,MCON_1964 | MCON_1615,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,Guanine + H2O <=> Xanthine + Ammonia,h2o[c] + gua[c]  <=> nh4[c] + xan[c] ,MCON_1091,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,dGTP + H2O <=> Deoxyguanosine + Triphosphate,h2o[c] + dgtp[c]  <=> dgsn[c] + pppi[c] ,MCON_1311,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + dGDP <=> ADP + dGTP,atp[c] + dgdp[c]  <=> adp[c] + dgtp[c] ,MCON_1703,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,dGMP + H2O <=> Deoxyguanosine + Orthophosphate,h2o[c] + dgmp[c]  <=> pi[c] + dgsn[c] ,MCON_0299,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,dAMP + H2O <=> Deoxyadenosine + Orthophosphate,h2o[c] + damp[c]  <=> pi[c] + dad_2[c] ,MCON_0299,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,XTP + H2O <=> Xanthosine 5'-phosphate + Diphosphate,h2o[c] + xtp[c]  <=> ppi[c] + xmp[c] ,MCON_0926,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + dIDP <=> ADP + dITP,atp[c] + didp[c]  <=> adp[c] + ditp[c] ,MCON_1703,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,dITP + H2O <=> 2'-Deoxyinosine 5'-phosphate + Diphosphate,h2o[c] + ditp[c]  <=> ppi[c] + dimp[c] ,MCON_0926,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,"AMP + Orthophosphate <=> Adenine + D-Ribose 1,5-bisphosphate",pi[c] + amp[c]  <=> ade[c] + r15bp[c] ,MCON_0583,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,GTP + Formate <=> dGTP + CO2 + H2O,gtp[c] + for[c]  <=> h2o[c] + co2[c] + dgtp[c] ,MCON_2095,-20,20
rn00230 Purine metabolism; rn01232 Nucleotide metabolism,ATP + Formate <=> dATP + CO2 + H2O,atp[c] + for[c]  <=> h2o[c] + co2[c] + datp[c] ,MCON_2095,-20,20
rn00240 Pyrimidine metabolism,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP,atp[c] + 2do5hmc5dp[c]  <=> adp[c] + 2do5hmc5tp[c] ,MCON_1703,-20,20
rn00240 Pyrimidine metabolism,5-Methylcytosine + H2O <=> Thymine + Ammonia,h2o[c] + 5mtc[c]  <=> nh4[c] + thym[c] ,MCON_0322,-20,20
rn00240 Pyrimidine metabolism,3'-UMP + H2O <=> Uridine + Orthophosphate,h2o[c] + 3ump[c]  <=> pi[c] + uri[c] ,MCON_0299,-20,20
rn00240 Pyrimidine metabolism,3'-CMP + H2O <=> Cytidine + Orthophosphate,h2o[c] + cmp[c]  <=> pi[c] + cytd[c] ,MCON_0299,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,CMP + H2O <=> Cytidine + Orthophosphate,h2o[c] + cmp[c]  <=> pi[c] + cytd[c] ,MCON_0299,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,ATP + CMP <=> ADP + CDP,atp[c] + cmp[c]  <=> adp[c] + cdp[c] ,MCON_2678,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,UMP + H2O <=> Uridine + Orthophosphate,h2o[c] + ump[c]  <=> pi[c] + uri[c] ,MCON_0299,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,Cytosine + H2O <=> Uracil + Ammonia,h2o[c] + csn[c]  <=> nh4[c] + ura[c] ,MCON_0322,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,dTMP + H2O <=> Thymidine + Orthophosphate,h2o[c] + dtmp[c]  <=> pi[c] + thymd[c] ,MCON_0299,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,dCMP + H2O <=> dUMP + Ammonia,h2o[c] + dcmp[c]  <=> nh4[c] + dump[c] ,MCON_1948,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,dCMP + H2O <=> Deoxycytidine + Orthophosphate,h2o[c] + dcmp[c]  <=> pi[c] + dcyt[c] ,MCON_0299,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,ATP + dCMP <=> ADP + dCDP,atp[c] + dcmp[c]  <=> adp[c] + dcdp[c] ,MCON_2678,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,ATP + dTDP <=> ADP + dTTP,atp[c] + dtdp[c]  <=> adp[c] + dttp[c] ,MCON_1703,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,ATP + dTMP <=> ADP + dTDP,atp[c] + dtmp[c]  <=> adp[c] + dtdp[c] ,MCON_1907,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,ATP + dUMP <=> ADP + dUDP,atp[c] + dump[c]  <=> adp[c] + dudp[c] ,MCON_1907,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,dUTP + H2O <=> dUMP + Diphosphate,h2o[c] + dutp[c]  <=> ppi[c] + dump[c] ,MCON_0264,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,dUMP + H2O <=> Deoxyuridine + Orthophosphate,h2o[c] + dump[c]  <=> pi[c] + duri[c] ,MCON_0299,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,ATP + dCDP <=> ADP + dCTP,atp[c] + dcdp[c]  <=> adp[c] + dctp[c] ,MCON_1703,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,ATP + dUDP <=> ADP + dUTP,atp[c] + dudp[c]  <=> adp[c] + dutp[c] ,MCON_1703,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,"CMP + Orthophosphate <=> Cytosine + D-Ribose 1,5-bisphosphate",pi[c] + cmp[c]  <=> csn[c] + r15bp[c] ,MCON_0583,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,"UMP + Orthophosphate <=> Uracil + D-Ribose 1,5-bisphosphate",pi[c] + ump[c]  <=> ura[c] + r15bp[c] ,MCON_0583,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,UTP + Formate <=> dUTP + CO2 + H2O,for[c] + utp[c]  <=> h2o[c] + co2[c] + dutp[c] ,MCON_2095,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism,CTP + Formate <=> dCTP + CO2 + H2O,for[c] + ctp[c]  <=> h2o[c] + co2[c] + dctp[c] ,MCON_2095,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism; rn01240 Biosynthesis of cofactors,ATP + UDP <=> ADP + UTP,atp[c] + udp[c]  <=> adp[c] + utp[c] ,MCON_1703,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism; rn01240 Biosynthesis of cofactors,ATP + UMP <=> ADP + UDP,atp[c] + ump[c]  <=> adp[c] + udp[c] ,MCON_1967,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism; rn01240 Biosynthesis of cofactors,ATP + CDP <=> ADP + CTP,atp[c] + cdp[c]  <=> adp[c] + ctp[c] ,MCON_1703,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism; rn01240 Biosynthesis of cofactors,ATP + UTP + Ammonia <=> ADP + Orthophosphate + CTP,atp[c] + nh4[c] + utp[c]  <=> adp[c] + pi[c] + ctp[c] ,MCON_1542,-20,20
rn00240 Pyrimidine metabolism; rn01232 Nucleotide metabolism; rn01240 Biosynthesis of cofactors,ATP + UTP + L-Glutamine + H2O <=> ADP + Orthophosphate + CTP + L-Glutamate,h2o[c] + atp[c] + gln_L[c] + utp[c]  <=> adp[c] + pi[c] + glu_L[c] + ctp[c] ,MCON_1542,-20,20
rn00240 Pyrimidine metabolism; rn01240 Biosynthesis of cofactors,Orotidine 5'-phosphate <=> UMP + CO2,orot5p[c]  <=> co2[c] + ump[c] ,MCON_2465,-20,20
rn00240 Pyrimidine metabolism; rn01240 Biosynthesis of cofactors,(S)-Dihydroorotate + NAD+ <=> Orotate + H+ + NADH,nad[c] + dhor_S[c]  <=> nadh[c] + h[c] + orot[c] ,MCON_2335,-20,20
rn00240 Pyrimidine metabolism; rn01240 Biosynthesis of cofactors,Orotidine 5'-phosphate + Diphosphate <=> Orotate + 5-Phospho-alpha-D-ribose 1-diphosphate,ppi[c] + orot5p[c]  <=> prpp[c] + orot[c] ,MCON_1953,-20,20
rn00240 Pyrimidine metabolism; rn01240 Biosynthesis of cofactors,(S)-Dihydroorotate + H2O <=> N-Carbamoyl-L-aspartate,h2o[c] + dhor_S[c]  <=> cbasp[c] ,MCON_1192,-20,20
"rn00250 Alanine, aspartate and glutamate metabolism; rn00350 Tyrosine metabolism; rn00650 Butanoate metabolism; rn00760 Nicotinate and nicotinamide metabolism",Succinate semialdehyde + NAD+ + H2O <=> Succinate + NADH + H+,h2o[c] + nad[c] + sucsal[c]  <=> nadh[c] + succ[c] + h[c] ,MCON_2755,-20,20
"rn00250 Alanine, aspartate and glutamate metabolism; rn00350 Tyrosine metabolism; rn00650 Butanoate metabolism; rn00760 Nicotinate and nicotinamide metabolism",Succinate semialdehyde + NADP+ + H2O <=> Succinate + NADPH + H+,h2o[c] + nadp[c] + sucsal[c]  <=> nadph[c] + succ[c] + h[c] ,MCON_2755 | MCON_2755,-20,20
"rn00260 Glycine, serine and threonine metabolism","L-2,4-Diaminobutanoate + Acetyl-CoA <=> N(gamma)-Acetyldiaminobutyrate + CoA",accoa[c] + 24dab[c]  <=> coa[c] + ngacdambut[c] ,MCON_1200,-20,20
"rn00260 Glycine, serine and threonine metabolism",N(gamma)-Acetyldiaminobutyrate <=> H2O + Ectoine,ngacdambut[c]  <=> h2o[c] + ecto_L[c] ,MCON_1198,-20,20
"rn00260 Glycine, serine and threonine metabolism; rn00270 Cysteine and methionine metabolism; rn00300 Lysine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+,nad[c] + hom_L[c]  <=> nadh[c] + h[c] + aspsa[c] ,MCON_0799,-20,20
"rn00260 Glycine, serine and threonine metabolism; rn00270 Cysteine and methionine metabolism; rn00300 Lysine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+,nadp[c] + hom_L[c]  <=> nadph[c] + h[c] + aspsa[c] ,MCON_0799,-20,20
rn00261 Monobactam biosynthesis; rn00300 Lysine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,"2,3,4,5-Tetrahydrodipicolinate + NAD+ + H2O <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + NADH + H+",h2o[c] + nad[c] + thdp[c]  <=> nadh[c] + h[c] + 4hthdp[c] ,MCON_0803,-20,20
rn00261 Monobactam biosynthesis; rn00300 Lysine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,"2,3,4,5-Tetrahydrodipicolinate + NADP+ + H2O <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + NADPH + H+",h2o[c] + nadp[c] + thdp[c]  <=> nadph[c] + h[c] + 4hthdp[c] ,MCON_0803,-20,20
rn00261 Monobactam biosynthesis; rn00300 Lysine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,"L-Aspartate 4-semialdehyde + Pyruvate <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O",pyr[c] + aspsa[c]  <=> h2o[c] + 4hthdp[c] ,MCON_0804,-20,20
rn00270 Cysteine and methionine metabolism,S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia,h2o[c] + ahcys[c]  <=> nh4[c] +  ,MCON_2923,-20,20
rn00270 Cysteine and methionine metabolism,L-Cysteine + 2-Oxoglutarate <=> Mercaptopyruvate + L-Glutamate,akg[c] + cys_L[c]  <=> glu_L[c] + mercppyr[c] ,MCON_3113 | MCON_2775 | MCON_2296,-20,20
rn00270 Cysteine and methionine metabolism,L-Cysteine + 2-Oxoglutarate <=> Mercaptopyruvate + Glutamate,akg[c] + cys_L[c]  <=> glu[c] + mercppyr[c] ,MCON_3113 | MCON_2775 | MCON_2296,-20,20
rn00270 Cysteine and methionine metabolism,L-Cysteine + Glutathione + NADP+ <=> S-Glutathionyl-L-cysteine + NADPH,nadp[c] + gthox[c] + cys_L[c]  <=> nadph[c] + sgluttnylcys_l[c] ,MCON_1435,-20,20
rn00270 Cysteine and methionine metabolism,L-Cysteate + 2-Oxoglutarate <=> 3-Sulfopyruvate + L-Glutamate,akg[c] + Lcyst[c]  <=> glu_L[c] + 3spyr[c] ,MCON_3113 | MCON_2775 | MCON_2296,-20,20
rn00270 Cysteine and methionine metabolism,3-Sulfino-L-alanine + 2-Oxoglutarate <=> 3-Sulfinylpyruvate + L-Glutamate,akg[c] + 3sala[c]  <=> glu_L[c] + 3snpyr[c] ,MCON_3113 | MCON_2775 | MCON_2296,-20,20
rn00270 Cysteine and methionine metabolism,S-Methyl-5-thio-D-ribose 1-phosphate <=> S-Methyl-5-thio-D-ribulose 1-phosphate,5mdru1p[c]  <=> 5mdru1p[c] ,MCON_3474,-20,20
rn00270 Cysteine and methionine metabolism,5'-Methylthioadenosine + H2O <=> 5'-S-Methyl-5'-thioinosine + Ammonia,h2o[c] + 5mta[c]  <=> nh4[c] + 5sm5tins[c] ,MCON_2923,-20,20
rn00270 Cysteine and methionine metabolism,5'-S-Methyl-5'-thioinosine + Orthophosphate <=> Hypoxanthine + S-Methyl-5-thio-D-ribose 1-phosphate,pi[c] + 5sm5tins[c]  <=> hxan[c] + 5mdru1p[c] ,MCON_3473,-20,20
"rn00280 Valine, leucine and isoleucine degradation; rn00290 Valine, leucine and isoleucine biosynthesis; rn00966 Glucosinolate biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate,akg[c] + leu_L[c]  <=> glu_L[c] + 4mop[c] ,MCON_2293,-20,20
"rn00280 Valine, leucine and isoleucine degradation; rn00290 Valine, leucine and isoleucine biosynthesis; rn00966 Glucosinolate biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate,akg[c] + ile_L[c]  <=> glu_L[c] + 3mop[c] ,MCON_2293,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn00660 C5-Branched dibasic acid metabolism; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",(R)-2-Methylmalate <=> 2-Methylmaleate + H2O,2mmal[e]  <=> h2o[c] + 2mmale[c] ,MCON_1320 | MCON_1271,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn00660 C5-Branched dibasic acid metabolism; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",2-Methylmaleate + H2O <=> D-erythro-3-Methylmalate,h2o[c] + 2mmale[c]  <=> e3mmal[c] ,MCON_1320 | MCON_1271,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn00660 C5-Branched dibasic acid metabolism; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",Acetyl-CoA + Pyruvate + H2O <=> (R)-2-Methylmalate + CoA,h2o[c] + pyr[c] + accoa[c]  <=> coa[c] + 2mmal[e] ,MCON_0409,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism",alpha-Isopropylmalate <=> 2-Isopropylmaleate + H2O,3c3hmp[c]  <=> h2o[c] + 2ippm[c] ,MCON_1320 | MCON_1271,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism","(2R,3S)-3-Isopropylmalate <=> 2-Isopropylmaleate + H2O",3c2hmp[c]  <=> h2o[c] + 2ippm[c] ,MCON_1320 | MCON_1271,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids","(R)-2,3-Dihydroxy-3-methylbutanoate + NADP+ <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid + NADPH + H+",nadp[c] + 23dhmb[c]  <=> nadph[c] + h[c] + 2h3moa[c] ,MCON_0412,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids","(R)-2,3-Dihydroxy-3-methylpentanoate + NADP+ <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate + NADPH + H+",nadp[c] + 23dhmp[c]  <=> nadph[c] + h[c] + 3h3mop[c] ,MCON_0412,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",(S)-2-Aceto-2-hydroxybutanoate <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate,2ahbut[c]  <=> 3h3mop[c] ,MCON_0412,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids","(R)-2,3-Dihydroxy-3-methylpentanoate <=> (S)-3-Methyl-2-oxopentanoic acid + H2O",23dhmp[c]  <=> h2o[c] + 3mop[c] ,MCON_1149,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",(S)-2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid,alac_S[c]  <=> 2h3moa[c] ,MCON_0412,-20,20
"rn00290 Valine, leucine and isoleucine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids",Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2,pyr[c] + 2obut[c]  <=> co2[c] + 2ahbut[c] ,MCON_0410 | MCON_0411,-20,20
rn00300 Lysine biosynthesis; rn00470 D-Amino acid metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,"meso-2,6-Diaminoheptanedioate <=> L-Lysine + CO2",26dap_M[c]  <=> co2[c] + lys_L[c] ,MCON_1770,-20,20
rn00300 Lysine biosynthesis; rn00470 D-Amino acid metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,"LL-2,6-Diaminoheptanedioate <=> meso-2,6-Diaminoheptanedioate",26dap_LL[c]  <=> 26dap_M[c] ,MCON_0430,-20,20
rn00300 Lysine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate <=> (Z)-But-1-ene-1,2,4-tricarboxylate + H2O",hcit[c]  <=> h2o[c] + chomo[c] ,MCON_0444 | MCON_1922,-20,20
rn00300 Lysine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids,"Homoisocitrate <=> (Z)-But-1-ene-1,2,4-tricarboxylate + H2O",hicit[c]  <=> h2o[c] + chomo[c] ,MCON_0444 | MCON_1922,-20,20
rn00300 Lysine biosynthesis; rn01230 Biosynthesis of amino acids,"N-Succinyl-LL-2,6-diaminoheptanedioate + H2O <=> Succinate + LL-2,6-Diaminoheptanedioate",h2o[c] + sl26da[c]  <=> succ[c] + 26dap_LL[c] ,MCON_2723,-20,20
rn00300 Lysine biosynthesis; rn01230 Biosynthesis of amino acids,"N-Succinyl-LL-2,6-diaminoheptanedioate + 2-Oxoglutarate <=> N-Succinyl-2-L-amino-6-oxoheptanedioate + L-Glutamate",akg[c] + sl26da[c]  <=> glu_L[c] + sl2a6o[c] ,MCON_1613,-20,20
rn00310 Lysine degradation,"L-Lysine <=> (3S)-3,6-Diaminohexanoate",lys_L[c]  <=> 36dahx[c] ,MCON_3114,-20,20
rn00310 Lysine degradation,5-Oxopentanoate + NAD+ + H2O <=> Glutarate + NADH + H+,h2o[c] + nad[c] + oxptn[c]  <=> nadh[c] + h[c] + glutar[c] ,MCON_2755,-20,20
rn00330 Arginine and proline metabolism,Creatinine + H2O <=> Creatine,h2o[c] + crtn[c]  <=> creat[c] ,MCON_1443,-20,20
rn00330 Arginine and proline metabolism,Creatinine + H2O <=> N-Methylhydantoin + Ammonia,h2o[c] + crtn[c]  <=> nh4[c] + mthd[c] ,MCON_0322,-20,20
rn00330 Arginine and proline metabolism,L-erythro-4-Hydroxyglutamate + 2-Oxoglutarate <=> (4R)-4-Hydroxy-2-oxoglutarate + L-Glutamate,akg[c] + e4hglu[c]  <=> glu_L[c] + 4h2oxg[c] ,MCON_3113 | MCON_2775 | MCON_2296,-20,20
rn00330 Arginine and proline metabolism; rn01110 Biosynthesis of secondary metabolites,L-Arginine <=> Agmatine + CO2,arg_L[c]  <=> co2[c] + agm[c] ,MCON_3166,-20,20
rn00330 Arginine and proline metabolism; rn01110 Biosynthesis of secondary metabolites,Agmatine + H2O <=> N-Carbamoylputrescine + Ammonia,h2o[c] + agm[c]  <=> nh4[c] + ncptrc[c] ,MCON_3455,-20,20
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites,L-Histidinal + H2O + NAD+ <=> L-Histidine + NADH + H+,h2o[c] + nad[c] + histl_L[c]  <=> nadh[c] + h[c] + his_L[c] ,MCON_0797,-20,20
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites,L-Histidinol + NAD+ <=> L-Histidinal + NADH + H+,nad[c] + histd[c]  <=> nadh[c] + h[c] + histl_L[c] ,MCON_0797,-20,20
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,1-(5-Phospho-D-ribosyl)-ATP + Diphosphate <=> ATP + 5-Phospho-alpha-D-ribose 1-diphosphate,ppi[c] + prbatp[c]  <=> atp[c] + prpp[c] ,MCON_1881,-20,20
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,L-Histidinol phosphate + 2-Oxoglutarate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + L-Glutamate,akg[c] + hisp[c]  <=> glu_L[c] + imacp[c] ,MCON_1614,-20,20
