Gene	Enzymes	Protein Families	Other Info
MCON_2633		&nbsp;&nbsp;&nbsp;03110 Chaperones and folding catalysts [BR:<a href="/brite/mcj03110+MCON_2633">mcj03110</a>]	
MCON_2639			
MCON_2640			
MCON_2643			
MCON_2644			
MCON_2645			
MCON_2653			
MCON_2654			
MCON_2658			
MCON_2659			
MCON_2661			
MCON_2663		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_2663">mcj03016</a>]	
MCON_2669			
MCON_2673		&nbsp;&nbsp;&nbsp;03036 Chromosome and associated proteins [BR:<a href="/brite/mcj03036+MCON_2673">mcj03036</a>]	
MCON_2676		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_2676">mcj03016</a>]	
MCON_2678			
MCON_2695		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_2695">mcj03009</a>]	
MCON_2714			
MCON_2721			
MCON_2722			
MCON_2723		&nbsp;&nbsp;&nbsp;01002 Peptidases and inhibitors [BR:<a href="/brite/mcj01002+MCON_2723">mcj01002</a>]	
MCON_2732			
MCON_2737			
MCON_2739			
MCON_2748		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_2748">mcj03016</a>]	
MCON_2750		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_2750">mcj03016</a>]	
MCON_2752		&nbsp;&nbsp;&nbsp;03021 Transcription machinery [BR:<a href="/brite/mcj03021+MCON_2752">mcj03021</a>]	
MCON_2754		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_2754">mcj03009</a>]	
MCON_2755			
MCON_2758			
MCON_2759			
MCON_2769			
MCON_2772			
MCON_2775		&nbsp;&nbsp;&nbsp;01007 Amino acid related enzymes [BR:<a href="/brite/mcj01007+MCON_2775">mcj01007</a>]	
MCON_2794		&nbsp;&nbsp;&nbsp;01006 Prenyltransferases [BR:<a href="/brite/mcj01006+MCON_2794">mcj01006</a>]	
MCON_2812			
MCON_2819			
MCON_2821			
MCON_2824			
MCON_2837			
MCON_2840		&nbsp;&nbsp;&nbsp;01007 Amino acid related enzymes [BR:<a href="/brite/mcj01007+MCON_2840">mcj01007</a>]	
MCON_2856		&nbsp;&nbsp;&nbsp;01002 Peptidases and inhibitors [BR:<a href="/brite/mcj01002+MCON_2856">mcj01002</a>]	
MCON_2865			
MCON_2868		&nbsp;&nbsp;&nbsp;01004 Lipid biosynthesis proteins [BR:<a href="/brite/mcj01004+MCON_2868">mcj01004</a>]	
MCON_2872			
MCON_2873			
MCON_2874			
MCON_2875			
MCON_2876			
MCON_2882			
MCON_2883			
MCON_2884			
MCON_2892		&nbsp;&nbsp;&nbsp;01002 Peptidases and inhibitors [BR:<a href="/brite/mcj01002+MCON_2892">mcj01002</a>]	
MCON_2896			
MCON_2898			
MCON_2907		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_2907">mcj03016</a>]	
MCON_2908			
MCON_2909			
MCON_2920		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_2920">mcj03016</a>]	
MCON_2922		&nbsp;&nbsp;&nbsp;01009 Protein phosphatases and associated proteins [BR:<a href="/brite/mcj01009+MCON_2922">mcj01009</a>]	
MCON_2923			
MCON_2926		&nbsp;&nbsp;&nbsp;03400 DNA repair and recombination proteins [BR:<a href="/brite/mcj03400+MCON_2926">mcj03400</a>]	
MCON_2949		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_2949">mcj03016</a>]	
MCON_2971			
MCON_2973			
MCON_2974			
MCON_2977			
MCON_2988		&nbsp;&nbsp;&nbsp;04147 Exosome [BR:<a href="/brite/mcj04147+MCON_2988">mcj04147</a>]	
MCON_2997			
MCON_2998			
MCON_3017			
MCON_3022			
MCON_3042			
MCON_3046			
MCON_3057			
MCON_3059			
MCON_3060			
MCON_3061			
MCON_3062			
MCON_3063			
MCON_3064			
MCON_3067			
MCON_3068			
MCON_3069			
MCON_3070			
MCON_3079			
MCON_3080			
MCON_3086			
MCON_3089			
MCON_3101			
MCON_3103			
MCON_3109			
MCON_3110			
MCON_3113		&nbsp;&nbsp;&nbsp;01007 Amino acid related enzymes [BR:<a href="/brite/mcj01007+MCON_3113">mcj01007</a>]	
MCON_3114			
MCON_3127		&nbsp;&nbsp;&nbsp;03021 Transcription machinery [BR:<a href="/brite/mcj03021+MCON_3127">mcj03021</a>]	
MCON_3135		&nbsp;&nbsp;&nbsp;01007 Amino acid related enzymes [BR:<a href="/brite/mcj01007+MCON_3135">mcj01007</a>]	
MCON_3136			
MCON_3141			
MCON_3148		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_3148">mcj03009</a>]	
MCON_3149		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_3149">mcj03009</a>]	
MCON_3156		&nbsp;&nbsp;&nbsp;03021 Transcription machinery [BR:<a href="/brite/mcj03021+MCON_3156">mcj03021</a>]	
MCON_3163			
MCON_3166			
MCON_3168			
MCON_3174		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_3174">mcj03016</a>]	
MCON_3175		&nbsp;&nbsp;&nbsp;03012 Translation factors [BR:<a href="/brite/mcj03012+MCON_3175">mcj03012</a>]	
MCON_3176		&nbsp;&nbsp;&nbsp;03032 DNA replication proteins [BR:<a href="/brite/mcj03032+MCON_3176">mcj03032</a>]	
MCON_3179		&nbsp;&nbsp;&nbsp;03032 DNA replication proteins [BR:<a href="/brite/mcj03032+MCON_3179">mcj03032</a>]	
MCON_3184			
MCON_3186		&nbsp;&nbsp;&nbsp;03021 Transcription machinery [BR:<a href="/brite/mcj03021+MCON_3186">mcj03021</a>]	
MCON_3190			
MCON_3198			
MCON_3199			
MCON_3207			
MCON_3217		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_3217">mcj03016</a>]	
MCON_3229			
MCON_3230			
MCON_3231			
MCON_3232			
MCON_3250			
MCON_3265		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_3265">mcj02048</a>]	
MCON_3269		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_3269">mcj02048</a>]	
MCON_3279			
MCON_3282			
MCON_3283			
MCON_3293		&nbsp;&nbsp;&nbsp;04147 Exosome [BR:<a href="/brite/mcj04147+MCON_3293">mcj04147</a>]	
MCON_3294			
MCON_3296			
MCON_3300			
MCON_3301			
MCON_3302		&nbsp;&nbsp;&nbsp;04147 Exosome [BR:<a href="/brite/mcj04147+MCON_3302">mcj04147</a>]	
MCON_3307			
MCON_3308			
MCON_3310		&nbsp;&nbsp;&nbsp;01006 Prenyltransferases [BR:<a href="/brite/mcj01006+MCON_3310">mcj01006</a>]	
MCON_3313			
MCON_3321			
MCON_3335			
MCON_3352		&nbsp;&nbsp;&nbsp;04147 Exosome [BR:<a href="/brite/mcj04147+MCON_3352">mcj04147</a>]	
MCON_3354		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_3354">mcj03009</a>]	
MCON_3359			
MCON_3362			
MCON_3369			
MCON_3370			
MCON_3371		&nbsp;&nbsp;&nbsp;04147 Exosome [BR:<a href="/brite/mcj04147+MCON_3371">mcj04147</a>]	
MCON_3376		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_3376">mcj02048</a>]	
MCON_3379		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_3379">mcj02048</a>]	
MCON_3424		&nbsp;&nbsp;&nbsp;03012 Translation factors [BR:<a href="/brite/mcj03012+MCON_3424">mcj03012</a>]	
MCON_3425		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_3425">mcj03016</a>]	
MCON_3441			
MCON_3442			
MCON_3444			
MCON_3449		&nbsp;&nbsp;&nbsp;02000 Transporters [BR:<a href="/brite/mcj02000+MCON_3449">mcj02000</a>]	
MCON_3455			
MCON_3460		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_3460">mcj03016</a>]	
MCON_3465		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_3465">mcj03016</a>]	
MCON_3473			
MCON_3474			
MCON_3477			
MCON_3478			
MCON_3479			
MCON_3480			
MCON_3484		&nbsp;&nbsp;&nbsp;03019 Messenger RNA biogenesis [BR:<a href="/brite/mcj03019+MCON_3484">mcj03019</a>]	
